product_id,sentiment_score,user_review
0763855553,0.807,"This is really a great buy. It breaks down to a full MS Office software suite for 5 computers plus 1TB of online storage. The storage alone is worth the price. Well worth $100 per year, or less than $10 per month."
0763855553,0.2716,I have this running on my Macbook Air and two HP laptops. Set up took less than 3 minutes. It is a one year subscription which is totally fine with me considering it averages out to $20 per year.
0763855553,0.1265,"not that easy to understand or install, documentation should be better."
0763855553,0.6892,"Works well! Use for Outlook and Word, Excel!"
0763855553,-0.2892,"We got this for 2 Macs and 2 Windows machines. It works OK on both platforms. I use it mostly on a Mac, now. I don't like that almost every time I go to use it, there's yet another update to go through. It's really annoying. We've since gone with the monthly online version."
0763855553,0.6249,What can you say great product.
0763855553,0.4754,Has been very helpful.
0763855553,-0.5707,"Complete rubbish! I got this with an Acer aspire laptop and installed it. There is no shortcut and double clicking the file does nothing. All previous versions of Office have worked, but this is rubbish and the is no manual or proper instructions. Microsoft had gone way downhill.
If you can come up with any alternative, get that instead."
0763855553,0.5663,"I Bought This So I Could Get Full Use Of The Office iPad Apps. However I Also Did 2 Mac Installs, & 2 Windows Installs !! Was Completely Painless, & The KEY Code WAS Valid !!!"
0763855553,-0.8934,"When I try to install I receive error code 30088-04. Can't even find the error code.
Tried several times.
Have Windows 8 in a brand new HP computer.
Gave up. Life is too short.
Should have bought a Mac.
No wonder the CEO resigned. Poor Microsoft. Sinking ship ...."
0763855553,0.8268,Office 365 is less than $100 per year for 5 users. We purchased this and our kids use it on their Macs while my wife and I use it on our PC's. What did we do with the 5th license? Donated it to a friend who is a single mom and widow. It's really nice to have that flexibility.
0763855553,-0.0418,I really thought this was one of those programs I could get a lot of use out of. However I have used this program so very little that I cannot give a meaningful review to it. From what I've seen of it and had I really got into using itI can say that it's a top shelf program.
0763855553,0.9509,"I guess it all depends on your needs. The software is great, but this is essentially a rental program. You buy again next year for $100 (if you have need for software for 5 machines and you need the cloud, then it is pretty reasonable at $20 per machine.) I guess we are all looking for cost effective solutions, so this may work better for some than for others. Personally, I have resisted Adobe's efforts to put me into the rental group, I feel the same about this. But times they are a changing and sooner or later, we are all going to end up in a rental program."
0982697813,0.9602,"I've not had nearly enough to look at this all the way through. It would probably take years. But thus far I am very impressed. The content is rich and informative. It's fun to hunt down all the ""rabbit trails"" looking for new information. Very well done!"
1413313701,0.6155,"I just couldn't get to grips with this software. It's not bad, but I just thought that in this case, it would be easier just to eat the cost and pay an attorney to do this for you. Not for me, but might be for you."
1413313728,0.955,"The Quicken Legal Business Pro book and application is a terrific addition to my business software arsenal. Full of useful information, and a comprehensive collection of highly useable legal forms, its a great help in getting your paperwork in order and standardizing your forms. Highly recommended!"
1426296355,0.7345,"Received the order fast and it works on snow leppord! Installed on my MacBook pro in a matter of minutes. Packaging was like new. National geographic rocks and is faster than the new version since I have older hardware. Also, it comes with free updates. ."
1426296355,0.5327,"All the National Geographics together, and easily searched! I made the 'mistake' of buying direct from NG, but even with a discount it was more than on Amazon."
1600775411,0.5548,"Easy to use. I like that you can use it on your computer but also learn more by transferring lessons to your iPod and learning while on the go. I learned a little bit but it didn't completely hold my attention or make me feel immersed. Granted, I should have tried this more but nothing compelled me to keep coming back to it."
1600775411,0.9382,"This system is helpful for both beginners and advanced students. It is as good as other systems that cost you much more. I think that Spanish should be learned by any who wish to succeed in business in the coming years, and this system gives you a good start."
1600775411,0.8139,"This is a fairly typical learn by listening language system. It's not bad, but it doesn't bring anything new to the table. There are very few people who can successfully learn a language this way. Those who can will find it works just fine. It has the type of dialog you would expect. If you have tried other learn by listening programs you can expect the same results from this one."
1600775411,0.775,"I was thrilled to see Amazon present these, as I had wanted the Rosetta Stone version for years. Since I never used Rosetta stone, I can't compare, but I will say this was fun, but only for a few weeks. After the newness wears off, it didn't seem much different than the memorization needed by other types of language programs. Still, a very inexpensive way to try a language out."
B00004W62O,0.8481,This is a great extension to the Windows 98 line of operating systems. Unfortunately it is also the last in that line. The flexibility of having a modern operating system with Dos compatibility was a great idea so long as it was handled correctly.
B00004W62O,-0.7184,"I have this OS on an old laptop and it is truly madning. Crashes like there's no tommorw. Security holes the size of the ozone. Windows 95/98 were good but this is when the wheels came off, this was like a pre Vista it was that bad, thus far I would say ME and Vista are still the worst version of windows I have ever used, yes even worse than Windows 8 in terms of bugs/crashes."
B00004W62O,-0.1531,"I program computers, and we had number of compatibility problems with this OS. MS dropped much of good old DDE, causing number of shell application to crash, including number of uninstall programs."
B000050ZRE,0.6656,You can't go wrong with this device. It's the only hub I have that operates solely on power supplied by the PC. Plug it in and go. It's that easy to use.
B000050ZRE,0.6249,I thought this to be very inexpensive for all that we got. Great for the you boys for their computer center in our home school.
B000050ZRE,0.8803,"very good computer the intel Dual Core i3-2120 3.3GHz CPU, 4GB DDR3 RAM, 500GB HDD configuration is good enough for light use. The price is amazing"
